"";"";"Apiaceae";"Artemisia";"Betula.nana";"Betula.undiff.";"Botrychium";"Caltha";"Carex.type";"Cichorioideae";"Empetrum";"Equisetum";"Ericaceae.undiff.";"Filipendula";"Galium";"Gymnocarpium.dryopteris";"Isoetes.lacustris";"Juniperus";"Leptosporangiatae";"Lycopodium.annotinum";"Menyanthes.trifoliata";"Poaceae.undiff.";"Potamogeton";"Ranunculus";"Rumex.type";"Salix";"Silene.type";"Spergula.arvensis";"Thalictrum";"Alnus";"Brassicaceae";"Isoetes.echinospora";"Lamiaceae";"Plantago.maritima";"Rhinanthus";"Amaranthaceae";"Armeria";"Koenigia.islandica";"Parnassia";"Potentilla";"Stuckenia";"Dryas.octopetala";"Huperzia.selago";"Valeriana";"Asteroideae.undiff.";"Pinus";"Polypodium.vulgare";"Sorbus";"cf..Diapensia.lapponica";"Ranunculus.sect..Batrachium.type";"Corylus";"Saxifraga";"Rosaceae.undiff.";"Plantago.lanceolata";"Sedum";"Picea";"Ulmus";"Succisa";"Cystopteris.fragilis";"Hippuris.vulgaris";"Rumex.Oxyria.digyna.undiff.";"Scrophularia"
"1";35;0,00598802398802395;0,00199600799600798;0,0179640719640719;0,0499001999001996;0,00998003998003992;0,00199600799600798;0,23752494952495;0,00399201599201597;0,00199600799600798;0,0219560879560878;0,0119760479760479;0,00598802398802395;0,0419161679161677;0,0818363268363274;0,00598802398802395;0,00598802398802395;0,115768462768463;0,0139720559720559;0,00199600799600798;0,279441117441118;0,00399201599201597;0,0139720559720559;0,00798403198403194;0,0399201599201597;0,00199600799600798;0,00199600799600798;0,0119760479760479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";290,5;0,00576701297693195;0;0,00922721996309112;0,0530565167877739;0,00461360998154556;0;0,20761245616955;0,00461360998154556;0;0,0288350628846598;0,00230680499077278;0,00922721996309112;0,0219146479123414;0,0784313726862745;0,0519031137923876;0,00346020798615917;0,186851210252595;0,0161476359354095;0;0,23644751905421;0,0161476359354095;0,00461360998154556;0,00807381796770473;0,0196078429215686;0,00115340299538639;0;0,0184544409261822;0,00115340299538639;0,00115340299538639;0,00346020798615917;0,00346020798615917;0,00115340299538639;0,00115340299538639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";617;0,00873362402620087;0;0,0240174670720524;0,0655021831965066;0,00436681201310044;0;0,20087336260262;0,00655021801965065;0,00109170300327511;0,0316593890949782;0,00764192102292576;0,00218340600655022;0,0283842790851528;0,117903930353712;0,0131004370393013;0;0,176855895530568;0,0109170310327511;0;0,20305676960917;0,00436681201310044;0,0152838430458515;0,00545851501637554;0,0349344981048035;0,00218340600655022;0;0,0131004370393013;0;0,00436681201310044;0;0,00109170300327511;0,00218340600655022;0,00109170300327511;0,00109170300327511;0,00109170300327511;0,00109170300327511;0,00109170300327511;0,00764192102292576;0,00109170300327511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";971;0,00590551198228346;0;0,00295275599114173;0,0580708658257874;0,00295275599114173;0;0,123031495630906;0,00196850399409449;0;0,0137795279586614;0,00295275599114173;0,00984251997047244;0,0374015748877953;0,144685038565945;0,0118110239645669;0,00196850399409449;0,284448818146654;0,00984251997047244;0;0,230314960309055;0,00295275599114173;0,0147637799557087;0,00393700798818898;0,0108267719675197;0,000984251997047244;0;0,0167322829498032;0;0,00196850399409449;0;0,000984251997047244;0;0;0;0;0;0;0,000984251997047244;0;0,000984251997047244;0,000984251997047244;0,00196850399409449;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";1223;0,0102249489795501;0;0,0316973419366053;0,0930470348139059;0,00511247398977505;0;0,258691206482618;0,00408997999182004;0;0,0327198359345603;0,00306748499386503;0,0132924339734151;0,00613496898773006;0,0429447849141104;0,239263803521472;0,00511247398977505;0,0930470348139059;0,00920245398159509;0;0,0828220858343558;0,00102249499795501;0,00715746398568507;0,00920245398159509;0,0265848669468303;0;0,00102249499795501;0,00817995898364008;0;0;0,00613496898773006;0;0;0;0;0,00102249499795501;0;0;0,00306748499386503;0;0;0;0,00102249499795501;0,00102249499795501;0,00204498999591002;0,00102249499795501;0,00102249499795501;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";1676,5;0,00170067999829932;0;0,0204081629795918;0,171768706828231;0;0;0,20068027179932;0;0,00170067999829932;0,0289115649710884;0,00340136099659864;0,0119047619880952;0,00340136099659864;0,037414965962585;0,205782312794218;0,0187074829812925;0,166666666833333;0,00340136099659864;0,00170067999829932;0,0493197279506803;0;0,00510204099489796;0,00510204099489796;0,0306122449693878;0;0;0,00170067999829932;0;0,00510204099489796;0,0136054419863946;0;0;0;0;0;0;0;0,00170067999829932;0;0;0;0;0,00340136099659864;0;0;0,00340136099659864;0,00170067999829932;0,00170067999829932;0;0;0;0;0;0;0;0;0;0;0;0
"7";2110;0,00982615299017385;0;0,0196523049803477;0,152683295847317;0,00151171599848828;0;0,131519273868481;0,00226757399773243;0,000755857999244142;0,0415721839584278;0,00302343199697657;0,0090702949909297;0,0128495839871504;0,0521541949478458;0,201814058798186;0,0113378679886621;0,239606953760393;0,00453514699546485;0;0,0476190479523809;0,00226757399773243;0,00377928899622071;0,00755857899244142;0,0188964469811036;0,000755857999244142;0;0,00226757399773243;0,000755857999244142;0,00226757399773243;0,0113378679886621;0,000755857999244142;0;0;0;0,00151171599848828;0;0;0,000755857999244142;0;0;0;0;0;0,000755857999244142;0;0,00151171599848828;0;0,000755857999244142;0,000755857999244142;0,00151171599848828;0;0;0;0;0;0;0;0;0;0
"8";2577;0,0124999999875;0;0,0303571429696429;0,0910714289089286;0;0;0,178571428821429;0;0;0,0714285709285714;0,00535714299464286;0,0107142859892857;0,00357142899642857;0,0678571429321428;0,158928570841071;0,0178571429821429;0,192857142807143;0,00178571399821429;0;0,0714285709285714;0;0,00535714299464286;0,0142857139857143;0,024999999975;0;0;0,00535714299464286;0,00357142899642857;0;0,0124999999875;0;0,00357142899642857;0;0;0;0;0;0,00357142899642857;0;0;0;0;0;0,00535714299464286;0,00178571399821429;0,00178571399821429;0;0;0;0,00178571399821429;0,00178571399821429;0;0;0;0;0;0;0;0;0
"9";2785;0,00367647098897059;0;0,0220588239338235;0,0735294117794118;0;0;0,268382352194853;0;0;0,0514705878455882;0;0,00367647098897059;0,0147058819558824;0,0220588239338235;0,161764705514706;0,0441176468676471;0,1874999994375;0,00367647098897059;0;0,0882352937352941;0;0,0110294119669118;0,00735294097794118;0,0220588239338235;0;0;0,00367647098897059;0;0;0,00735294097794118;0;0;0;0;0;0;0;0,00367647098897059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";2947;0,011270492022541;0,00102459000204918;0,0122950820245902;0,073770492147541;0,00409836100819672;0;0,205942623411885;0,00102459000204918;0;0,0430327870860656;0,00409836100819672;0,0122950820245902;0,00717213101434426;0,0215163930430328;0,231557377463115;0,0665983611331967;0,16290983632582;0;0;0,0706967211413935;0,0051229510102459;0,00307377000614754;0,00819672101639344;0,0215163930430328;0,00102459000204918;0;0,00614754101229508;0,00102459000204918;0,00102459000204918;0,0174180330348361;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00204918000409836;0;0;0;0,00102459000204918;0,00102459000204918;0;0,00102459000204918;0,00102459000204918;0;0;0;0;0;0;0;0
"11";3158;0,00642398299357602;0;0,0214132759785867;0,0728051389271949;0,00642398299357602;0;0,216274089783726;0,00642398299357602;0,00214132799785867;0,0385438969614561;0;0,0107066379892934;0,00428265499571734;0,00642398299357602;0,250535331749465;0,0364025699635974;0,152034260847966;0,00214132799785867;0,00214132799785867;0,0942184149057816;0,00642398299357602;0,00428265499571734;0,00856530999143469;0,0278372589721627;0;0;0,00214132799785867;0;0,00428265499571734;0,012847965987152;0;0;0;0;0;0;0;0,00214132799785867;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00214132799785867;0;0;0;0;0;0;0;0
"12";3401;0,00748363000748363;0;0,0187090740187091;0,101964453101964;0;0;0,150608045150608;0,000935454000935454;0,00187090700187091;0,0233863420233863;0,000935454000935454;0,0261927030261927;0,00374181500374181;0,0187090740187091;0,304022451304022;0,0327408790327409;0,141253508141254;0,00280636100280636;0,000935454000935454;0,0720299350720299;0,00841908300841908;0,00654817600654818;0,00467726800467727;0,0289990650289991;0;0;0,00841908300841908;0;0,00187090700187091;0,0233863420233863;0;0,00187090700187091;0;0;0;0;0;0,00187090700187091;0;0;0;0;0;0,00187090700187091;0;0,000935454000935454;0;0,00187090700187091;0;0;0;0;0,000935454000935454;0;0;0;0;0;0;0
"13";3563,5;0,0139593909581218;0,00126903599619289;0,0139593909581218;0,095177664714467;0,00253807099238579;0;0,151015227546954;0,00126903599619289;0;0,0406091368781726;0,00253807099238579;0,0253807109238579;0,00507614198477157;0,0215736039352792;0,214467004356599;0,0532994918401015;0,203045684390863;0,00126903599619289;0;0,0748730957753807;0,00380710698857868;0,00380710698857868;0,00380710698857868;0,035532994893401;0;0;0,00634517798096447;0;0;0,0164974619505076;0,00126903599619289;0,00126903599619289;0;0;0;0;0;0,00507614198477157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00126903599619289;0;0;0;0;0;0
"14";3730;0,00879397003517588;0,00125628100502512;0,0125628140502513;0,0891959803567839;0;0,00125628100502512;0,10050251340201;0,00628140702512563;0,00125628100502512;0,0251256281005025;0,00376884401507538;0,00753768803015075;0,0138190950552764;0,0427135681708543;0,0816582913266332;0,0263819101055276;0,407035177628141;0,0050251260201005;0,00125628100502512;0,0942211063768844;0,00125628100502512;0,00376884401507538;0,00628140702512563;0,0263819101055276;0,00125628100502512;0;0,010050251040201;0,00125628100502512;0,00251256301005025;0,00879397003517588;0;0;0;0;0,00125628100502512;0;0,00125628100502512;0,00251256301005025;0;0;0;0;0;0;0;0;0;0,00125628100502512;0;0;0;0;0,00125628100502512;0;0,00125628100502512;0;0;0;0;0
"15";3774;0,00636942698089172;0;0,00318471299044586;0,113057324660828;0,00955413997133758;0;0,141719744574841;0,00159235699522293;0;0,0382165608853503;0,00159235699522293;0,00477706998566879;0,0143312099570064;0,044585986866242;0,0891719747324841;0,0477707008566879;0,264331209207006;0,0111464969665605;0;0,127388534617834;0,00159235699522293;0,0111464969665605;0,00159235699522293;0,0254777069235669;0,00159235699522293;0;0,0127388539617834;0;0,00159235699522293;0,022292993933121;0;0;0;0;0;0;0;0,00318471299044586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16";4146;0,00101317100506586;0;0,007092199035461;0,152988855764944;0,00506585602532928;0;0,119554205597771;0,00202634201013171;0,00303951401519757;0,0263424521317123;0,00101317100506586;0,00911854104559271;0,00607902703039514;0,0101317120506586;0,210739616053698;0,0780141843900709;0,210739616053698;0,00202634201013171;0,00202634201013171;0,0678824723394124;0,00101317100506586;0,00405268502026342;0,00506585602532928;0,0364741641823708;0;0;0,0101317120506586;0,00101317100506586;0,00202634201013171;0,0151975680759878;0;0,00101317100506586;0;0;0;0;0;0;0;0;0;0;0;0,00101317100506586;0;0,00101317100506586;0;0,00506585602532928;0;0;0;0;0,00101317100506586;0;0;0,00101317100506586;0;0;0;0
"17";4436,5;0,0031505989905482;0,00063011999810964;0,0100819159697543;0,197857592406427;0,00189035899432892;0;0,073724007778828;0,00252047899243856;0;0,0176433519470699;0,00126023899621928;0,0119722749640832;0,00378071798865785;0,00504095798487713;0,152488972542533;0,0919974797240076;0,306238184081285;0,0031505989905482;0;0,0302457469092628;0;0,00567107798298677;0,00189035899432892;0,0617517328147448;0,00126023899621928;0;0,00252047899243856;0,00189035899432892;0,00063011999810964;0,00756143697731569;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00063011999810964;0;0;0;0,00189035899432892;0;0;0;0;0;0;0;0;0,00063011999810964;0;0;0
"18";4711,5;0,003900156;0;0,015600624;0,232449298;0,000780031;0,001560062;0,106864275;0,002340094;0,000780031;0,028081123;0,000780031;0,018720749;0,003120125;0,009360374;0,153666147;0,06474259;0,177847114;0,003120125;0,000780031;0,065522621;0,002340094;0,007020281;0,003900156;0,072542902;0;0;0,00624025;0;0;0,01326053;0;0,000780031;0;0;0;0;0,000780031;0;0;0;0;0;0;0,000780031;0;0;0;0,001560062;0;0;0;0;0;0;0;0;0;0,000780031;0;0
"19";4997;0,00428571402571428;0;0,0171428571028571;0,208571430251429;0;0;0,12000000072;0;0,00142857100857143;0,01000000006;0;0,02000000012;0,00714285704285714;0;0,134285714805714;0,0942857145657143;0,21000000126;0,00142857100857143;0;0,0442857142657143;0,00285714301714286;0,00428571402571428;0;0,0914285715485714;0;0;0,01000000006;0,00428571402571428;0;0,00142857100857143;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00142857100857143;0,00142857100857143;0;0,00285714301714286;0,00142857100857143;0;0;0;0,00142857100857143;0,00142857100857143;0;0;0;0,00142857100857143;0;0,00142857100857143;0
