"";"";"Juania_australis";"Drimys_confertifolia";"Myrceugenia_fernandeziana";"Fagara_mayu_";"Dysopsis";"Spergularia";"Coprosma";"Sophora";"Rhapiothamnus";"Rubus";"Plantago";"Poaceae";"Asteraceae_1";"Asteraceae_2";"Asteraceae_3";"Chenopodium";"Rosaceae";"Gunnera";"Haloragis";"Dicksonia";"Blechnum";"Blechnum_small";"Pteris";"Lophosoria";"Histiopteris";"Thyrsopteris_elegans";"Hymenophyllaceae";"Polypodium"
"1";208;0,0183681769816318;0,00827342999172657;0,168045571831954;0,00643273699356726;0;0;0;0;0;0,000910658999089341;0;0,00827342999172657;0;0;0;0;0;0,000910658999089341;0,000910658999089341;0,000910658999089341;0,0514231459485769;0,73463021326537;0;0;0;0;0;0,000910658999089341
"2";237,5;0,00134534599865465;0,00807207299192793;0,0766475839233524;0,00403603699596396;0;0;0;0;0;0;0;0,0017907009982093;0,00089998999910001;0;0;0;0;0,000445355999554644;0,00089998999910001;0;0,00313604699686395;0,896445503103554;0,00224533499775467;0,000445355999554644;0,00134534599865465;0;0,00089998999910001;0,00134534599865465
"3";269;0,0184291059631418;0,058483508883033;0,560013599879973;0,0399863989200272;0;0,00306018399387963;0;0;0;0;0;0,00924855498150289;0,00306018399387963;0;0;0;0;0,00306018399387963;0,00306018399387963;0;0,00306018399387963;0,280040801439918;0,00924855498150289;0;0,00924855498150289;0;0;0
"4";298;0,125462596125463;0,149054983149055;0,156522601156523;0,0111683850111684;0;0;0;0;0;0;0;0,00994581000994581;0,00125561700125562;0;0;0;0;0;0,00247819200247819;0;0,0111683850111684;0,496893999496894;0,00869019300869019;0,00125561700125562;0,018636003018636;0;0;0,00746761800746762
"5";327,5;0,509385695490614;0,132516663867483;0,120086470879914;0,0124301929875698;0;0,0372545489627454;0,0041433979958566;0,0041433979958566;0;0;0;0,0393442619606557;0,00205368399794632;0,00205368399794632;0;0;0;0,00619708199380292;0;0,00619708199380292;0,0082867949917132;0,0848856059151144;0,0186272739813727;0;0,0103404789896595;0;0;0,00205368399794632
"6";356;0,631821573631822;0,0975271800975272;0,0645651250645651;0,0123641010123641;0;0,0316030700316031;0,0109784690109785;0,00274461700274462;0;0;0,00138563200138563;0,0233425710233426;0,00548923500548924;0,00413024900413025;0;0;0;0,0123641010123641;0;0,00138563200138563;0,00138563200138563;0,0576902580576903;0,0219835860219836;0;0,0123641010123641;0,00138563200138563;0;0,00548923500548924
"7";385;0,806719291579842;0,0230451269308646;0,0527877918416366;0,00445984598662046;0;0,0208229739375311;0,00520574298438277;0;0;0;0,00296805099109585;0,0275049729174851;0,00296805099109585;0,00149179499552461;0;0;0;0,0133795379598614;0,000745897997762306;0,000745897997762306;0,00296805099109585;0,0222992289331023;0,00742789697771631;0;0,00296805099109585;0;0;0,00149179499552461
"8";428;0,768431729231568;0,0384131339615869;0,0651050959348949;0,00959858699040141;0;0,0288145459711855;0,00319326799680673;0;0;0;0;0,0245505949754494;0,00640531999359468;0;0;0;0;0,0106692709893307;0,00107068399892932;0;0,00107068399892932;0,0288145459711855;0,00426395199573605;0;0,00107068399892932;0,00426395199573605;0,00107068399892932;0,00319326799680673
"9";485;0,822288158;0,020564701;0,078250028;0,003314342;0,002651473;0,002651473;0,001988605;0,000662868;0,000662868;0;0,001988605;0,035147804;0,002651473;0,001325737;0;0,001325737;0;0,004640078;0;0,000662868;0,003314342;0,008617288;0,005965815;0;0;0;0;0,001325737
"10";587;0,897501449;0,03037641;0,012083873;0,009320937;0,001032131;0,004835137;0,001722865;0;0;0;0;0,011734536;0,002413599;0;0;0;0;0,005525871;0,000341397;0,002072202;0,001722865;0,008630203;0,003795066;0;0,005176534;0,000341397;0,001032131;0,000341397
"11";781;0,781927670218072;0,0391005539608994;0,0495262559504737;0,0208514049791486;0;0,0225862409774138;0,00173483699826516;0;0;0;0;0,0173817309826183;0,00955828399044172;0;0;0;0;0,00346967399653033;0,00260225499739774;0;0;0,0356141989643858;0,00782344699217655;0;0,000867417999132582;0;0,00173483699826516;0,00522119199477881
"12";913;0,746411484492823;0,0489544570979089;0,0521664011043328;0,0136452240272904;0,000797448001594896;0,0441476170882952;0,00241449600482899;0;0,00241449600482899;0;0,00159489600318979;0,0369262800738526;0,00480684000961368;0,00159489600318979;0,00159489600318979;0;0;0,0104332800208666;0;0,000797448001594896;0,00159489600318979;0,0208665600417331;0,00321194400642389;0;0,00241449600482899;0,000797448001594896;0;0,00241449600482899
"13";1076;0,858600733141399;0,0257602079742398;0,0268992259731008;0,00915816199084184;0,00115052299884948;0,0223201449776799;0,000575260999424739;0;0,000575260999424739;0;0;0,016602045983398;0,00400381999599618;0,00115052299884948;0;0;0;0,00686862199313138;0;0,00115052299884948;0,00171427899828572;0,0183163249816837;0,0028648019971352;0;0;0;0;0,00228954099771046
"14";1239;0,892873291107127;0,01514001498486;0,021737023978263;0,00737217799262782;0,00272116499727883;0,0163027679836972;0;0;0,000775168999224831;0;0;0,0100933429899067;0,00193792199806208;0;0;0;0,000387583999612416;0,0042715029957285;0;0,00155033799844966;0,00232550599767449;0,0159151839840848;0,00504667199495333;0;0;0;0;0,00155033799844966
"15";1748;0,930956267138087;0,00930992098138016;0,00594564398810871;0,00594564398810871;0,000259478999481042;0,00465272299069455;0,000518957998962084;0;0,000518957998962084;0;0;0,0100838829798322;0,00103344099793312;0,000518957998962084;0,000259478999481042;0,00103344099793312;0;0,00465272299069455;0;0,00129291999741416;0,000518957998962084;0,015774521968451;0,00543115998913768;0;0,000518957998962084;0;0;0,000773962998452074
"16";2238;0,945943978891888;0,00473098600946197;0,00562931801125864;0,00608021901216044;0,0002254500004509;0,00202558300405117;0,0004509000009018;0;0,0002254500004509;0;0;0,0103603040207206;0,000676351001352702;0,0015781510031563;0;0;0;0,00247648400495297;0,0002254500004509;0;0,0004509000009018;0,0112621050225242;0,00562931801125864;0;0,000676351001352702;0;0;0,0013527010027054
"17";3106;0,461556099923112;0,126566799253134;0,076926017153852;0,0347370830694742;0;0,0198333840396668;0,0024839500049679;0;0,0099357990198716;0;0,0024839500049679;0,0595383671190767;0,0248012840496026;0;0;0;0;0,0223173340446347;0,0024839500049679;0;0,0099357990198716;0,0843778661687557;0,0248012840496026;0;0,0173876490347753;0;0;0,0198333840396668
"18";3600;0,221143601;0,248313011;0,054457204;0,112288386;0;0,057831183;0;0;0,003373979;0;0;0,074819463;0,013614301;0,003373979;0,003373979;0;0;0,01698828;0,003373979;0,013614301;0,010181129;0,081626613;0,037409731;0;0,010181129;0;0;0,034035752
"19";3944;0,466972627466973;0,115554827115555;0,0235699070235699;0,033010982033011;0,00472053800472054;0,0306507130306507;0;0;0;0;0,00236026900236027;0,0849041140849041;0,00944107500944107;0,00236026900236027;0,00236026900236027;0;0;0,0188821500188821;0;0,00944107500944107;0,00708080600708081;0,141517784141518;0,0259301750259302;0;0,00944107500944107;0;0;0,0118013440118013
"20";4108;0,624262236;0,072414419;0,039135567;0,01173613;0,003904477;0,039135567;0;0;0;0;0;0,043062744;0,009783892;0,001952238;0;0;0;0,005879415;0;0,005879415;0,003904477;0,101766095;0,029351675;0;0,001952238;0;0;0,005879415
